市区町村コード,地方,都道府県,市区町村名,延床面積,地上階数,地下階数,構造種別,保有属性数
01100,北海道,北海道,札幌市,○,○,○,○,4
01205,北海道,北海道,室蘭市,○,○,○,-,3
01639,北海道,北海道,更別村,-,-,-,-,0
02208,東北,青森県,むつ市,-,○,-,-,1
03201,東北,岩手県,盛岡市,-,○,-,○,2
03202,東北,岩手県,宮古市,-,○,-,○,2
04100,東北,宮城県,仙台市,-,-,-,-,0
05204,東北,秋田県,大館市,○,○,○,○,4
07201,東北,福島県,福島市,○,○,○,○,4
07203,東北,福島県,郡山市,○,○,-,○,3
07204,東北,福島県,いわき市,○,○,-,○,3
07205,東北,福島県,白河市,○,○,-,○,3
07212,東北,福島県,南相馬市,○,○,-,○,3
08220,関東,茨城県,つくば市,-,○,-,-,1
08234,関東,茨城県,鉾田市,-,○,-,-,1
09201,関東,栃木県,宇都宮市,○,○,○,○,4
10201,関東,群馬県,前橋市,○,○,-,○,3
10203,関東,群馬県,桐生市,-,-,-,-,0
10207,関東,群馬県,館林市,-,-,-,-,0
11100,関東,埼玉県,さいたま市,○,○,-,-,2
11202,関東,埼玉県,熊谷市,○,○,○,○,4
11203,関東,埼玉県,川口市,-,○,-,-,1
11208,関東,埼玉県,所沢市,-,○,-,-,1
11210,関東,埼玉県,加須市,○,○,○,○,4
11214,関東,埼玉県,春日部市,○,○,-,○,3
11217,関東,埼玉県,鴻巣市,○,○,○,○,4
11222,関東,埼玉県,越谷市,○,○,-,○,3
11223,関東,埼玉県,蕨市,○,○,○,○,4
11224,関東,埼玉県,戸田市,○,○,-,○,3
11228,関東,埼玉県,志木市,○,○,○,○,4
11230,関東,埼玉県,新座市,○,○,○,○,4
11232,関東,埼玉県,久喜市,○,○,○,○,4
11234,関東,埼玉県,八潮市,○,○,○,○,4
11235,関東,埼玉県,富士見市,○,○,○,○,4
11237,関東,埼玉県,三郷市,○,○,○,○,4
11238,関東,埼玉県,蓮田市,-,○,○,○,3
11240,関東,埼玉県,幸手市,○,○,○,○,4
11241,関東,埼玉県,鶴ヶ島市,○,○,○,○,4
